longitude,latitude,total_rooms,total_bedrooms,population,households,median_house_value,median_income_log,ocean_ordinal,age_ordinal,rooms_per_household,bedrooms_per_room,population_per_household,income_per_person
-118.38,34.14,1965.0,354.0,666.0,357.0,483800.0,1.9583467783017772,1,2,5.5,0.1802,1.87,3.2554
-121.98,38.36,1083.0,217.0,562.0,203.0,101700.0,1.233434514475555,0,1,5.33,0.2004,2.77,0.8783
-117.11,33.75,4174.0,851.0,1845.0,780.0,96100.0,1.1822791902406804,0,0,5.35,0.2039,2.37,0.9543
-121.31,37.96,1829.0,301.0,694.0,319.0,92600.0,1.469393930289465,0,2,5.73,0.1646,2.18,1.5351
-118.36,33.85,1086.0,197.0,509.0,158.0,349300.0,1.9619662711589043,1,1,6.87,0.1814,3.22,1.8985
-122.13,37.41,4787.0,900.0,2039.0,890.0,440900.0,1.8572818811862726,3,2,5.38,0.188,2.29,2.3608
-118.44,34.31,3182.0,822.0,2661.0,746.0,160100.0,1.321008894421261,1,1,4.27,0.2583,3.57,0.7695
-118.13,34.06,1714.0,572.0,1590.0,568.0,183900.0,0.7827593392496325,1,0,3.02,0.3337,2.8,0.4241
-121.54,39.08,1076.0,216.0,724.0,197.0,57500.0,1.2118814483939768,0,1,5.46,0.2007,3.68,0.6412
-118.34,34.04,2010.0,494.0,1203.0,427.0,134600.0,1.078681653179231,1,2,4.71,0.2458,2.82,0.6882
-122.28,40.5,2405.0,476.0,1197.0,412.0,83100.0,1.2943983464153537,0,1,5.84,0.1979,2.91,0.9102
-117.19,32.78,4108.0,664.0,1659.0,644.0,252000.0,1.6881936384557585,2,1,6.38,0.1616,2.58,1.7092
-121.09,37.61,1787.0,296.0,921.0,287.0,171400.0,1.5864558360421763,0,2,6.23,0.1656,3.21,1.2107
-122.4,37.78,352.0,132.0,313.0,105.0,350000.0,1.2737413748805597,3,1,3.35,0.375,2.98,0.8638
-118.32,33.96,1297.0,292.0,704.0,264.0,166500.0,1.4635794238294328,1,2,4.91,0.2251,2.67,1.244
-117.94,33.76,1441.0,337.0,1233.0,331.0,176200.0,1.5524865359839617,1,1,4.35,0.2339,3.73,0.9982
-120.79,38.83,1374.0,291.0,709.0,239.0,118500.0,1.0014403769158362,0,0,5.75,0.2118,2.97,0.5799
-122.28,37.87,1813.0,353.0,828.0,339.0,191700.0,1.5178707189086098,3,2,5.35,0.1947,2.44,1.46
-120.37,37.98,2508.0,591.0,1112.0,550.0,91400.0,0.9563188113272276,0,1,4.56,0.2356,2.02,0.7931
-118.23,34.1,1051.0,249.0,799.0,229.0,143800.0,1.3115708149239542,1,2,4.59,0.2369,3.49,0.7771
-117.92,33.94,2506.0,394.0,1255.0,421.0,198200.0,1.7546285708898475,1,1,5.95,0.1572,2.98,1.6045
-117.11,32.68,26.0,14.0,58.0,23.0,125000.0,1.068393602084109,2,2,1.13,0.5385,2.52,0.7582
